layer,pref,pref_baseline,pref_drop_rel,ppl,ppl_baseline,ppl_increase_rel
0,0.56,0.46,-0.21739130434782614,19.399673907906056,19.394015008951268,0.00029178583971273996
1,0.52,0.46,-0.13043478260869565,19.404790748541156,19.394015008951268,0.0005556219062899108
2,0.56,0.46,-0.21739130434782614,19.401539913048694,19.394015008951268,0.00038800135474543253
3,0.58,0.46,-0.2608695652173912,19.377640395594636,19.394015008951268,-0.0008443127093113195
4,0.42,0.46,0.0869565217391305,19.37703943668081,19.394015008951268,-0.0008752995324909342
5,0.54,0.46,-0.1739130434782609,19.343129442561715,19.394015008951268,-0.00262377678712051
6,0.56,0.46,-0.21739130434782614,19.36431649351931,19.394015008951268,-0.001531323731483613
7,0.42,0.46,0.0869565217391305,19.376708566120172,19.394015008951268,-0.0008923599792569039
8,0.54,0.46,-0.1739130434782609,19.386260163388876,19.394015008951268,-0.00039985766530616215
9,0.48,0.46,-0.04347826086956513,19.3865092007516,19.394015008951268,-0.0003870167263561978
10,0.6,0.46,-0.30434782608695643,19.42231925967151,19.394015008951268,0.0014594322375835714
11,0.46,0.46,0.0,19.380226376248398,19.394015008951268,-0.0007109736017274117
12,0.66,0.46,-0.43478260869565216,19.4494217568417,19.394015008951268,0.002856899299338522
13,0.56,0.46,-0.21739130434782614,19.40329719882388,19.394015008951268,0.00047861104925032706
14,0.64,0.46,-0.3913043478260869,19.385207937271545,19.394015008951268,-0.0004541128629454873
15,0.46,0.46,0.0,19.3642398545781,19.394015008951268,-0.0015352754114826962
16,0.52,0.46,-0.13043478260869565,19.320323993535304,19.394015008951268,-0.003799678167824035
17,0.42,0.46,0.0869565217391305,19.315462537953582,19.394015008951268,-0.0040503459939280105
18,0.54,0.46,-0.1739130434782609,19.45537002970949,19.394015008951268,0.003163605923265629
19,0.44,0.46,0.04347826086956525,19.44311233178863,19.394015008951268,0.0025315708384623364
20,0.48,0.46,-0.04347826086956513,19.439559655028905,19.394015008951268,0.0023483866572556614
21,0.56,0.46,-0.21739130434782614,19.437556340278086,19.394015008951268,0.0022450911431553186
22,0.46,0.46,0.0,19.450986285743074,19.394015008951268,0.0029375700062886033
23,0.54,0.46,-0.1739130434782609,19.44634620928504,19.394015008951268,0.0026983169967445173
24,0.48,0.46,-0.04347826086956513,19.44173857413901,19.394015008951268,0.002460736735828798
25,0.62,0.46,-0.3478260869565217,19.447758313470654,19.394015008951268,0.0027711283349312332
26,0.44,0.46,0.04347826086956525,19.451532588147845,19.394015008951268,0.0029657386142080693
27,0.48,0.46,-0.04347826086956513,19.3456460600042,19.394015008951268,-0.0024940142061735983
