layer,mode,alpha,beta,control,pref,pref_ci_low,pref_ci_high,pref_baseline,pref_drop_rel,ppl,ppl_baseline,ppl_increase_rel,digits_only_perplexity
0,ablate,0.25,,none,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.25995804311254,19.142391699217182,0.11062182705110747,True
0,ablate,1.0,,none,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.263029939030474,19.142391699217182,0.11078230312777555,True
0,ablate,0.25,,random_0,0.496,0.40978473414855004,0.5824537975058225,0.448,-0.10714285714285711,21.260084762714904,19.142391699217182,0.11062844689278424,True
0,ablate,1.0,,random_0,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.263197233234315,19.142391699217182,0.11079104258972314,True
1,ablate,0.25,,none,0.552,0.4645665167440154,0.6363325717491422,0.448,-0.23214285714285723,21.258619930212134,19.142391699217182,0.11055192393129719,True
1,ablate,1.0,,none,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.261580111065022,19.142391699217182,0.11070656400446051,True
1,ablate,0.25,,random_0,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.256790298516016,19.142391699217182,0.11045634383217126,True
1,ablate,1.0,,random_0,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.25559428092191,19.142391699217182,0.1103938637819821,True
2,ablate,0.25,,none,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.258412124779547,19.142391699217182,0.11054106815967507,True
2,ablate,1.0,,none,0.584,0.4963484728052327,0.6666423624529447,0.448,-0.30357142857142844,21.256572375042307,19.142391699217182,0.11044495949331051,True
2,ablate,0.25,,random_0,0.472,0.38662908900238147,0.559040632578226,0.448,-0.05357142857142849,21.260829889254754,19.142391699217182,0.11066737235996509,True
2,ablate,1.0,,random_0,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.263526755970297,19.142391699217182,0.11080825688254292,True
3,ablate,0.25,,none,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.256227756434683,19.142391699217182,0.11042695659100661,True
3,ablate,1.0,,none,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.2667512786537,19.142391699217182,0.11097670619306119,True
3,ablate,0.25,,random_0,0.504,0.41754620249417757,0.59021526585145,0.448,-0.12499999999999999,21.2640387937387,19.142391699217182,0.11083500577455432,True
3,ablate,1.0,,random_0,0.544,0.4566758053599164,0.6287003464419861,0.448,-0.21428571428571436,21.262218834279494,19.142391699217182,0.11073993095382129,True
4,ablate,0.25,,none,0.52,0.4331334951087107,0.6056738466194269,0.448,-0.16071428571428573,21.256820706620204,19.142391699217182,0.1104579323538495,True
4,ablate,1.0,,none,0.616,0.5284885300554436,0.6965940519677538,0.448,-0.37499999999999994,21.255655093751937,19.142391699217182,0.1103970406488535,True
4,ablate,0.25,,random_0,0.488,0.4020447124457442,0.5746708825173733,0.448,-0.08928571428571425,21.255244610525644,19.142391699217182,0.11037559697385493,True
4,ablate,1.0,,random_0,0.464,0.3789535675350041,0.5511932173543485,0.448,-0.03571428571428575,21.25551319741918,19.142391699217182,0.11038962797362534,True
5,ablate,0.25,,none,0.536,0.44880678264565155,0.6210464324649959,0.448,-0.19642857142857148,21.260226689566256,19.142391699217182,0.11063586116230616,True
5,ablate,1.0,,none,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.26425172396523,19.142391699217182,0.11084612926580231,True
5,ablate,0.25,,random_0,0.472,0.38662908900238147,0.559040632578226,0.448,-0.05357142857142849,21.257864744582303,19.142391699217182,0.11051247297648978,True
5,ablate,1.0,,random_0,0.528,0.4409593674217741,0.6133709109976185,0.448,-0.1785714285714286,21.260703165211105,19.142391699217182,0.11066075228627519,True
6,ablate,0.25,,none,0.512,0.42532911748262675,0.5979552875542559,0.448,-0.14285714285714285,21.25008637369666,19.142391699217182,0.11010613028912536,True
6,ablate,1.0,,none,0.496,0.40978473414855004,0.5824537975058225,0.448,-0.10714285714285711,21.259973249424945,19.142391699217182,0.11062262143002542,True
