number,count,prob
123,7557,0.07646618367264338
345,4028,0.040757680009713845
456,1398,0.014145788642894726
234,943,0.009541830250536286
999,801,0.00810499048852552
987,786,0.00795321164042579
567,743,0.007518112275873234
321,726,0.007346096248026875
102,719,0.007275266118913668
789,593,0.006000323794875946
432,438,0.0044319423645120815
389,430,0.004350993645525559
100,421,0.004259926336665722
382,383,0.0038754199214797425
823,382,0.0038653013316064275
543,370,0.003743878253126644
312,346,0.003501032096167078
128,314,0.00317723722022099
654,305,0.0030861699113611525
289,288,0.0029141538835147935
555,287,0.002904035293641478
111,286,0.002893916703768163
101,285,0.0028837981138948475
500,284,0.0028736795240215324
678,284,0.0028736795240215324
222,279,0.0028230865746549563
342,269,0.0027219006759218035
182,254,0.0025701218278220746
812,254,0.0025701218278220746
333,245,0.0024790545189622374
854,242,0.002448698749342292
145,240,0.0024284615695956612
892,239,0.0024183429797223458
512,239,0.0024183429797223458
888,235,0.0023778686202290847
124,231,0.002337394260735824
384,223,0.002256445541749302
623,222,0.0022463269518759868
876,222,0.0022463269518759868
103,220,0.0022260897721293562
387,219,0.0022159711822560407
381,216,0.002185615412636095
582,203,0.002054073744282997
847,201,0.0020338365645363662
444,200,0.0020237179746630508
112,197,0.001993362205043105
634,196,0.00198324361516979
300,196,0.00198324361516979
189,195,0.0019731250252964746
845,191,0.0019326506658032137
523,190,0.0019225320759298985
532,188,0.001902294896183268
864,186,0.0018820577164366374
245,185,0.001871939126563322
184,183,0.0018517019468166915
122,183,0.0018517019468166915
834,183,0.0018517019468166915
899,181,0.0018314647670700612
324,180,0.001821346177196746
385,179,0.0018112275873234307
365,178,0.0018011089974501154
765,176,0.0017808718177034848
583,176,0.0017808718177034848
821,174,0.0017606346379568543
283,174,0.0017606346379568543
302,173,0.001750516048083539
502,172,0.0017403974582102238
452,170,0.0017201602784635934
826,169,0.0017100416885902781
142,169,0.0017100416885902781
612,169,0.0017100416885902781
721,167,0.0016898045088436476
341,165,0.001669567329097017
198,165,0.001669567329097017
154,165,0.001669567329097017
843,164,0.0016594487392237018
547,164,0.0016594487392237018
148,162,0.0016392115594770712
777,162,0.0016392115594770712
187,161,0.001629092969603756
832,160,0.0016189743797304407
482,159,0.0016088557898571254
398,159,0.0016088557898571254
349,159,0.0016088557898571254
542,158,0.0015987371999838104
564,158,0.0015987371999838104
167,158,0.0015987371999838104
893,157,0.001588618610110495
347,157,0.001588618610110495
256,156,0.0015785000202371798
402,156,0.0015785000202371798
642,155,0.0015683814303638645
125,155,0.0015683814303638645
108,154,0.0015582628404905493
127,154,0.0015582628404905493
235,153,0.001548144250617234
239,152,0.0015380256607439187
132,151,0.0015279070708706034
897,151,0.0015279070708706034
284,150,0.0015177884809972882
589,148,0.0014975513012506576
800,148,0.0014975513012506576
682,148,0.0014975513012506576
811,148,0.0014975513012506576
624,145,0.001467195531630712
172,145,0.001467195531630712
401,145,0.001467195531630712
423,144,0.0014570769417573967
450,144,0.0014570769417573967
632,144,0.0014570769417573967
275,143,0.0014469583518840815
305,143,0.0014469583518840815
802,142,0.0014368397620107662
346,142,0.0014368397620107662
301,141,0.001426721172137451
328,139,0.0014064839923908204
183,139,0.0014064839923908204
568,139,0.0014064839923908204
173,138,0.0013963654025175051
672,138,0.0013963654025175051
121,138,0.0013963654025175051
199,137,0.0013862468126441898
181,137,0.0013862468126441898
248,137,0.0013862468126441898
386,136,0.0013761282227708746
824,136,0.0013761282227708746
152,136,0.0013761282227708746
458,136,0.0013761282227708746
202,135,0.0013660096328975593
215,135,0.0013660096328975593
298,135,0.0013660096328975593
728,135,0.0013660096328975593
352,135,0.0013660096328975593
427,134,0.0013558910430242442
782,133,0.001345772453150929
628,133,0.001345772453150929
109,133,0.001345772453150929
842,133,0.001345772453150929
712,132,0.0013356538632776137
852,132,0.0013356538632776137
135,132,0.0013356538632776137
689,131,0.0013255352734042984
147,131,0.0013255352734042984
598,131,0.0013255352734042984
412,131,0.0013255352734042984
801,130,0.0013154166835309831
200,130,0.0013154166835309831
120,129,0.0013052980936576679
462,129,0.0013052980936576679
315,129,0.0013052980936576679
587,129,0.0013052980936576679
158,129,0.0013052980936576679
318,128,0.0012951795037843526
253,127,0.0012850609139110373
546,127,0.0012850609139110373
153,127,0.0012850609139110373
846,127,0.0012850609139110373
745,127,0.0012850609139110373
501,126,0.001274942324037722
329,126,0.001274942324037722
638,126,0.001274942324037722
472,125,0.0012648237341644068
314,125,0.0012648237341644068
104,125,0.0012648237341644068
815,124,0.0012547051442910915
645,124,0.0012547051442910915
310,124,0.0012547051442910915
247,124,0.0012547051442910915
364,124,0.0012547051442910915
882,123,0.0012445865544177764
853,123,0.0012445865544177764
814,123,0.0012445865544177764
358,122,0.0012344679645444612
562,121,0.001224349374671146
162,121,0.001224349374671146
894,121,0.001224349374671146
105,121,0.001224349374671146
258,120,0.0012142307847978306
891,120,0.0012142307847978306
867,120,0.0012142307847978306
168,120,0.0012142307847978306
982,120,0.0012142307847978306
833,119,0.0012041121949245154
354,119,0.0012041121949245154
505,118,0.0011939936050512
701,118,0.0011939936050512
320,118,0.0011939936050512
722,118,0.0011939936050512
188,118,0.0011939936050512
208,117,0.0011838750151778848
435,117,0.0011838750151778848
165,117,0.0011838750151778848
271,117,0.0011838750151778848
238,116,0.0011737564253045695
178,116,0.0011737564253045695
371,116,0.0011737564253045695
825,116,0.0011737564253045695
781,115,0.0011636378354312543
837,115,0.0011636378354312543
647,115,0.0011636378354312543
818,114,0.001153519245557939
350,114,0.001153519245557939
163,113,0.0011434006556846237
129,113,0.0011434006556846237
278,113,0.0011434006556846237
288,113,0.0011434006556846237
923,112,0.0011332820658113084
164,112,0.0011332820658113084
742,112,0.0011332820658113084
674,112,0.0011332820658113084
325,112,0.0011332820658113084
343,112,0.0011332820658113084
522,111,0.0011231634759379934
205,111,0.0011231634759379934
465,111,0.0011231634759379934
592,111,0.0011231634759379934
421,111,0.0011231634759379934
368,110,0.0011130448860646781
400,110,0.0011130448860646781
214,110,0.0011130448860646781
822,110,0.0011130448860646781
174,110,0.0011130448860646781
372,110,0.0011130448860646781
379,109,0.0011029262961913628
487,109,0.0011029262961913628
817,108,0.0010928077063180476
348,108,0.0010928077063180476
185,108,0.0010928077063180476
621,108,0.0010928077063180476
724,108,0.0010928077063180476
218,108,0.0010928077063180476
584,108,0.0010928077063180476
268,108,0.0010928077063180476
367,108,0.0010928077063180476
643,107,0.0010826891164447323
134,107,0.0010826891164447323
828,107,0.0010826891164447323
578,107,0.0010826891164447323
865,106,0.001072570526571417
293,106,0.001072570526571417
255,106,0.001072570526571417
431,105,0.0010624519366981017
503,105,0.0010624519366981017
392,105,0.0010624519366981017
528,105,0.0010624519366981017
231,105,0.0010624519366981017
323,105,0.0010624519366981017
844,104,0.0010523333468247865
311,104,0.0010523333468247865
601,104,0.0010523333468247865
468,104,0.0010523333468247865
179,104,0.0010523333468247865
251,104,0.0010523333468247865
829,104,0.0010523333468247865
463,104,0.0010523333468247865
144,104,0.0010523333468247865
873,104,0.0010523333468247865
425,104,0.0010523333468247865
485,103,0.0010422147569514712
666,103,0.0010422147569514712
388,103,0.0010422147569514712
193,103,0.0010422147569514712
357,103,0.0010422147569514712
299,103,0.0010422147569514712
527,103,0.0010422147569514712
375,103,0.0010422147569514712
602,103,0.0010422147569514712
548,103,0.0010422147569514712
618,103,0.0010422147569514712
483,102,0.001032096167078156
785,102,0.001032096167078156
741,101,0.0010219775772048406
792,101,0.0010219775772048406
308,101,0.0010219775772048406
544,100,0.0010118589873315254
356,100,0.0010118589873315254
439,100,0.0010118589873315254
901,100,0.0010118589873315254
399,100,0.0010118589873315254
274,100,0.0010118589873315254
212,99,0.0010017403974582103
428,99,0.0010017403974582103
911,99,0.0010017403974582103
684,99,0.0010017403974582103
683,99,0.0010017403974582103
734,99,0.0010017403974582103
264,99,0.0010017403974582103
362,99,0.0010017403974582103
246,98,0.000991621807584895
263,98,0.000991621807584895
723,98,0.000991621807584895
648,98,0.000991621807584895
429,98,0.000991621807584895
600,98,0.000991621807584895
242,98,0.000991621807584895
718,97,0.0009815032177115798
457,97,0.0009815032177115798
151,97,0.0009815032177115798
981,97,0.0009815032177115798
118,97,0.0009815032177115798
156,97,0.0009815032177115798
137,97,0.0009815032177115798
334,96,0.0009713846278382645
223,96,0.0009713846278382645
294,96,0.0009713846278382645
735,96,0.0009713846278382645
928,96,0.0009713846278382645
442,96,0.0009713846278382645
131,95,0.0009612660379649492
700,95,0.0009612660379649492
232,95,0.0009612660379649492
403,95,0.0009612660379649492
143,95,0.0009612660379649492
203,95,0.0009612660379649492
243,95,0.0009612660379649492
286,95,0.0009612660379649492
265,95,0.0009612660379649492
947,95,0.0009612660379649492
467,94,0.000951147448091634
313,94,0.000951147448091634
863,94,0.000951147448091634
671,94,0.000951147448091634
629,94,0.000951147448091634
820,94,0.000951147448091634
594,93,0.0009410288582183187
827,93,0.0009410288582183187
126,93,0.0009410288582183187
404,93,0.0009410288582183187
322,92,0.0009309102683450034
201,92,0.0009309102683450034
518,92,0.0009309102683450034
194,92,0.0009309102683450034
369,92,0.0009309102683450034
448,92,0.0009309102683450034
192,92,0.0009309102683450034
841,91,0.0009207916784716881
703,91,0.0009207916784716881
819,91,0.0009207916784716881
504,91,0.0009207916784716881
529,91,0.0009207916784716881
998,91,0.0009207916784716881
875,91,0.0009207916784716881
327,91,0.0009207916784716881
204,90,0.000910673088598373
213,90,0.000910673088598373
869,90,0.000910673088598373
856,90,0.000910673088598373
874,90,0.000910673088598373
326,90,0.000910673088598373
338,90,0.000910673088598373
351,90,0.000910673088598373
838,90,0.000910673088598373
702,90,0.000910673088598373
408,90,0.000910673088598373
521,90,0.000910673088598373
932,89,0.0009005544987250577
738,89,0.0009005544987250577
743,89,0.0009005544987250577
405,89,0.0009005544987250577
644,89,0.0009005544987250577
810,89,0.0009005544987250577
635,89,0.0009005544987250577
146,88,0.0008904359088517424
855,88,0.0008904359088517424
725,88,0.0008904359088517424
534,88,0.0008904359088517424
445,88,0.0008904359088517424
489,88,0.0008904359088517424
415,88,0.0008904359088517424
169,88,0.0008904359088517424
758,88,0.0008904359088517424
437,87,0.0008803173189784271
285,87,0.0008803173189784271
850,87,0.0008803173189784271
281,87,0.0008803173189784271
383,87,0.0008803173189784271
836,87,0.0008803173189784271
729,87,0.0008803173189784271
898,87,0.0008803173189784271
287,86,0.0008701987291051119
269,86,0.0008701987291051119
641,86,0.0008701987291051119
319,86,0.0008701987291051119
228,86,0.0008701987291051119
252,85,0.0008600801392317967
221,85,0.0008600801392317967
617,85,0.0008600801392317967
803,84,0.0008499615493584814
727,84,0.0008499615493584814
374,84,0.0008499615493584814
631,84,0.0008499615493584814
688,84,0.0008499615493584814
332,84,0.0008499615493584814
304,84,0.0008499615493584814
267,84,0.0008499615493584814
273,84,0.0008499615493584814
673,84,0.0008499615493584814
139,84,0.0008499615493584814
614,84,0.0008499615493584814
171,84,0.0008499615493584814
434,84,0.0008499615493584814
748,84,0.0008499615493584814
262,84,0.0008499615493584814
155,84,0.0008499615493584814
798,83,0.0008398429594851662
254,83,0.0008398429594851662
344,83,0.0008398429594851662
282,83,0.0008398429594851662
340,83,0.0008398429594851662
714,83,0.0008398429594851662
622,83,0.0008398429594851662
481,82,0.0008297243696118509
257,82,0.0008297243696118509
197,82,0.0008297243696118509
753,82,0.0008297243696118509
438,82,0.0008297243696118509
422,81,0.0008196057797385356
484,81,0.0008196057797385356
541,81,0.0008196057797385356
107,81,0.0008196057797385356
515,81,0.0008196057797385356
473,81,0.0008196057797385356
276,81,0.0008196057797385356
227,81,0.0008196057797385356
224,80,0.0008094871898652203
241,80,0.0008094871898652203
395,80,0.0008094871898652203
805,80,0.0008094871898652203
627,80,0.0008094871898652203
394,80,0.0008094871898652203
572,80,0.0008094871898652203
835,80,0.0008094871898652203
378,80,0.0008094871898652203
608,80,0.0008094871898652203
731,80,0.0008094871898652203
140,79,0.0007993685999919052
307,79,0.0007993685999919052
658,79,0.0007993685999919052
259,79,0.0007993685999919052
934,79,0.0007993685999919052
653,79,0.0007993685999919052
359,79,0.0007993685999919052
563,79,0.0007993685999919052
418,79,0.0007993685999919052
881,79,0.0007993685999919052
552,79,0.0007993685999919052
752,79,0.0007993685999919052
303,79,0.0007993685999919052
698,78,0.0007892500101185899
475,78,0.0007892500101185899
652,78,0.0007892500101185899
407,78,0.0007892500101185899
133,78,0.0007892500101185899
902,78,0.0007892500101185899
317,78,0.0007892500101185899
376,78,0.0007892500101185899
447,78,0.0007892500101185899
469,77,0.0007791314202452746
524,77,0.0007791314202452746
361,77,0.0007791314202452746
762,77,0.0007791314202452746
492,77,0.0007791314202452746
639,77,0.0007791314202452746
175,77,0.0007791314202452746
149,77,0.0007791314202452746
573,77,0.0007791314202452746
896,77,0.0007791314202452746
436,77,0.0007791314202452746
788,77,0.0007791314202452746
694,76,0.0007690128303719594
233,76,0.0007690128303719594
771,76,0.0007690128303719594
675,76,0.0007690128303719594
138,76,0.0007690128303719594
161,76,0.0007690128303719594
890,75,0.0007588942404986441
216,75,0.0007588942404986441
884,75,0.0007588942404986441
921,75,0.0007588942404986441
