rank,id,token,delta,sign
1,11,",",0.51611328125,+
2,320,Ġ(,0.487548828125,+
3,13,.,0.447509765625,+
4,12,-,0.42724609375,+
5,1112,...,0.39404296875,+
6,25,:,0.37744140625,+
7,7,(,0.37646484375,+
8,220,Ġ,0.3759765625,+
9,330,"Ġ""",0.36669921875,+
10,304,Ġin,0.364013671875,+
11,198,Ċ,0.363525390625,+
12,1940,âĢ¦,0.3623046875,+
13,82930,"__,__",0.345947265625,+
14,0,!,0.33544921875,+
15,30,?,0.3271484375,+
16,323,Ġand,0.32421875,+
17,14,/,0.32275390625,+
18,72138,âĢļ,0.319580078125,+
19,2293,âĢĶ,0.308349609375,+
20,9338,...Ċ,0.3076171875,+
21,82845,////////////////////////////////////////////////////,0.305419921875,+
22,296,Ġm,0.305419921875,+
23,62,_,0.302978515625,+
24,70198,[âĢ¦,0.299072265625,+
25,1036,ĠâĢľ,0.2978515625,+
26,5760,ÂŃ,0.29736328125,+
27,386,ĠM,0.290771484375,+
28,1,"""",0.290283203125,+
29,6774,Ġstar,0.289794921875,+
30,274,Ġs,0.288330078125,+
31,434,ĠF,0.286376953125,+
32,472,ĠH,0.28564453125,+
33,311,Ġto,0.284423828125,+
34,389,Ġon,0.283935546875,+
35,650,Ġun,0.281494140625,+
36,58,[,0.281494140625,+
37,89478,âĢ¦Ċ,0.280517578125,+
38,9,*,0.274658203125,+
39,59043,__).,0.274169921875,+
40,98908,ĠonDataChange,0.271728515625,+
41,77585,#ab,0.270263671875,+
42,357,Ġst,0.2685546875,+
43,328,ĠS,0.264892578125,+
44,425,ĠB,0.264404296875,+
45,289,Ġw,0.26220703125,+
46,326,Ġl,0.260498046875,+
47,348,Ġv,0.26025390625,+
48,293,Ġb,0.25927734375,+
49,82,s,0.2587890625,+
50,85,v,0.25830078125,+
51,458,Ġan,0.258056640625,+
52,98821,ï¿½t,0.257568359375,+
53,362,ĠA,0.2568359375,+
54,80377,"""w",0.256591796875,+
55,271,ĊĊ,0.254638671875,+
56,624,.Ċ,0.253662109375,+
57,27194,&nbsp,0.25244140625,+
58,501,Ġnew,0.251708984375,+
59,481,Ġ-,0.251708984375,+
60,479,ĠG,0.25048828125,+
61,264,Ġa,0.25,+
62,57048,__;Ċ,0.2490234375,+
63,350,ĠT,0.24755859375,+
