rank,id,token,delta,sign
1,72637,.lastname,0.085693359375,+
2,96497,ĠvÃ¥r,0.08056640625,+
3,9136,Ġfi,0.07647705078125,+
4,121987,éķ¯,0.0760498046875,+
5,58309,ĠvÃ¥,0.07464599609375,+
6,476,Ġor,0.0743408203125,+
7,64408,.IDENTITY,0.07421875,+
8,82844,ĠsmÃ¥,0.07269287109375,+
9,81819,leftrightarrow,0.07110595703125,+
10,120536,å¨£,0.0703125,+
11,78634,InMillis,0.07012939453125,+
12,3219,»¿,0.0684814453125,+
13,8873,Ġamb,0.0682373046875,+
14,960,ose,0.0679931640625,+
15,29327,ĠPotter,0.06787109375,+
16,19243,ĠFab,0.06768798828125,+
17,117202,æīĢæıĲä¾Ľ,0.06707763671875,+
18,30182,Â¿,0.06689453125,+
19,44271,Ġgrosse,0.06683349609375,+
20,57048,__;Ċ,0.06658935546875,+
21,111573,ä¸ĭè¾¾,0.06646728515625,+
22,98085,.setPrototypeOf,0.06640625,+
23,35806,[offset,0.06622314453125,+
24,33098,.xlabel,0.06597900390625,+
25,46743,ĠOrganisation,0.06573486328125,+
26,85407,Ġ==(,0.065673828125,+
27,102380,éķ¿æ²Ļ,0.065673828125,+
28,21561,itr,0.06494140625,+
29,40436,ĠKab,0.064453125,+
30,79742,ĠbÃ¥de,0.064208984375,+
31,117966,å¤ªå¿«,0.06414794921875,+
32,117204,æĶ»åħĭ,0.0634765625,+
33,115878,è®°èĢħäºĨè§£,0.0633544921875,+
34,198,Ċ,0.0626220703125,+
35,27592,insic,0.0626220703125,+
36,105911,å°ıåŀĭ,0.062286376953125,+
37,40184,azo,0.0621337890625,+
38,17327,Ġnic,0.062042236328125,+
39,119508,çª¿,0.061920166015625,+
40,75238,ĠPune,0.06182861328125,+
41,42171,Ġsubmar,0.0616455078125,+
42,5016,ĠSch,0.0615234375,+
43,65678,Ġ$('[,0.061492919921875,+
44,66795,.JpaRepository,0.0614013671875,+
45,117652,å¾®åĪĽ,0.060516357421875,+
46,56138,eworthy,0.0604248046875,+
47,60965,.ReadKey,0.060333251953125,+
48,106715,å¤§éĺŁ,0.0601806640625,+
49,84806,.BigInteger,0.05999755859375,+
50,15715,atre,0.059906005859375,+
51,9983,fi,0.059844970703125,+
52,117962,æĺ¯éŁ©åĽ½,0.059844970703125,+
53,114875,ä¸ĭä¹¡,0.059814453125,+
54,70697,ĠQStringLiteral,0.05963134765625,+
55,48740,SEE,0.059539794921875,+
56,56978,_subplot,0.059478759765625,+
57,12307,ĠSpe,0.059326171875,+
58,308,Ġn,0.05926513671875,+
59,48165,ĠGLint,0.059051513671875,+
60,103309,åĭĭ,0.058837890625,+
61,62755,ĠPatel,0.058746337890625,+
62,323,Ġand,0.0587158203125,+
63,600,Ġi,0.058685302734375,+
64,15964,ĠRose,0.05853271484375,+
65,10946,ĠJo,0.058502197265625,+
66,21782,illo,0.05816650390625,+
67,31724,cue,0.057769775390625,+
68,130532,quÃŃ,0.0577392578125,+
69,20772,plain,0.05767822265625,+
70,75233,lbrace,0.0576171875,+
71,111328,ç¡¬åĮĸ,0.05712890625,+
72,135120,ĠEyl,0.05706787109375,+
73,49558,USR,0.056976318359375,+
74,82693,"""]){Ċ",0.05694580078125,+
75,65914,Ġendwhile,0.056884765625,+
76,39493,ĠKoch,0.056854248046875,+
77,74800,ĠQLatin,0.056854248046875,+
78,11968,Ġplate,0.056793212890625,+
79,6174,Ġones,0.056640625,+
80,114971,äºĭåħ³,0.056640625,+
81,793,ude,0.05657958984375,+
82,67939,>Lorem,0.056488037109375,+
83,31190,ĉNULL,0.05621337890625,+
84,16123,was,0.056121826171875,+
85,52796,nice,0.055877685546875,+
