rank,id,token,delta,sign
1,11,",",0.427734375,+
2,320,Ġ(,0.42138671875,+
3,13,.,0.411376953125,+
4,12,-,0.39111328125,+
5,1112,...,0.35986328125,+
6,7,(,0.338134765625,+
7,0,!,0.333251953125,+
8,25,:,0.32763671875,+
9,330,"Ġ""",0.326416015625,+
10,304,Ġin,0.32421875,+
11,30,?,0.320556640625,+
12,1940,âĢ¦,0.318603515625,+
13,386,ĠM,0.31591796875,+
14,220,Ġ,0.309814453125,+
15,198,Ċ,0.30908203125,+
16,296,Ġm,0.3056640625,+
17,72138,âĢļ,0.304443359375,+
18,82930,"__,__",0.303955078125,+
19,323,Ġand,0.294189453125,+
20,6774,Ġstar,0.290283203125,+
21,59043,__).,0.287841796875,+
22,2293,âĢĶ,0.283203125,+
23,70688,"""path",0.28125,+
24,62,_,0.274169921875,+
25,58,[,0.27392578125,+
26,14,/,0.2724609375,+
27,82845,////////////////////////////////////////////////////,0.27197265625,+
28,274,Ġs,0.268798828125,+
29,9338,...Ċ,0.266357421875,+
30,5760,ÂŃ,0.262939453125,+
31,77585,#ab,0.2626953125,+
32,27194,&nbsp,0.261962890625,+
33,328,ĠS,0.26171875,+
34,1036,ĠâĢľ,0.25927734375,+
35,98908,ĠonDataChange,0.258056640625,+
36,85,v,0.256591796875,+
37,472,ĠH,0.255126953125,+
38,425,ĠB,0.2548828125,+
39,57048,__;Ċ,0.254638671875,+
40,362,ĠA,0.25390625,+
41,444,ĠL,0.253662109375,+
42,80377,"""w",0.251953125,+
43,650,Ġun,0.246826171875,+
44,139153,biÃ³,0.2467041015625,+
45,624,.Ċ,0.246337890625,+
46,434,ĠF,0.2462158203125,+
47,404,ir,0.244140625,+
48,357,Ġst,0.242919921875,+
49,308,Ġn,0.2427978515625,+
50,311,Ġto,0.2403564453125,+
51,27,<,0.2403564453125,+
52,458,Ġan,0.2388916015625,+
53,89478,âĢ¦Ċ,0.238037109375,+
54,468,ĠE,0.23779296875,+
55,481,Ġ-,0.2376708984375,+
56,145953,âŀķ,0.2354736328125,+
57,271,ĊĊ,0.2347412109375,+
58,63906,ippines,0.2342529296875,+
59,64575,////////////////////////////////////////////////////////////,0.2342529296875,+
60,1,"""",0.2337646484375,+
61,9,*,0.2332763671875,+
62,59610,âĢĵĊĊ,0.2330322265625,+
63,61972,âĢķ,0.23291015625,+
64,44974,Ġwithd,0.232666015625,+
65,264,Ġa,0.2313232421875,+
66,289,Ġw,0.23095703125,+
67,389,Ġon,0.2303466796875,+
68,26,;,0.2298583984375,+
69,294,Ġd,0.2294921875,+
70,438,Ġas,0.229248046875,+
71,431,ĠR,0.228759765625,+
72,382,.ĊĊ,0.228759765625,+
73,84421,#aa,0.2283935546875,+
74,501,Ġnew,0.2279052734375,+
75,506,ĠO,0.2279052734375,+
76,350,ĠT,0.2269287109375,+
77,66251,"""text",0.2264404296875,+
78,647,ĠV,0.2254638671875,+
79,409,Ġde,0.225341796875,+
80,76336,#af,0.224853515625,+
81,71720,"""sync",0.224609375,+
82,451,ĠN,0.2239990234375,+
83,293,Ġb,0.2237548828125,+
84,9880,<span,0.2236328125,+
85,348,Ġv,0.221435546875,+
86,58766,xin,0.221435546875,+
87,278,al,0.2203369140625,+
88,70198,[âĢ¦,0.2200927734375,+
89,370,ab,0.2196044921875,+
90,9136,Ġfi,0.218505859375,+
91,422,ĠD,0.2183837890625,+
92,476,Ġor,0.218017578125,+
93,80877,ihat,0.217529296875,+
94,285,is,0.2161865234375,+
95,98821,ï¿½t,0.2158203125,+
96,467,ĠW,0.2156982421875,+
97,393,ĠP,0.2156982421875,+
98,479,ĠG,0.215576171875,+
99,67842,alyzed,0.2154541015625,+
100,63553,__)),0.214599609375,+
101,580,ac,0.2103271484375,+
102,518,Ġat,0.2098388671875,+
103,4294,Ġagre,0.2095947265625,+
104,263,on,0.20947265625,+
105,315,Ġof,0.2086181640625,+
106,508,Ġ[,0.2080078125,+
107,1532,ĠNew,0.2078857421875,+
108,1959,ĠâĢĶ,0.207763671875,+
109,1674,ĠAl,0.2076416015625,+
110,2477,Ġnon,0.2061767578125,+
111,7679,ĠStar,0.20556640625,+
112,77694,#ac,0.20556640625,+
113,258,in,0.205322265625,+
114,2341,Ġspe,0.2047119140625,+
115,92385,Ġlorem,0.2042236328125,+
116,145805,Ëĭ,0.2041015625,+
117,400,Ġ$,0.203857421875,+
118,13949,æĿ,0.2037353515625,+
119,33653,#ga,0.2032470703125,+
120,23433,æĬ,0.203125,+
121,144642,âī§,0.20166015625,+
122,27405,////////////////////////////////////////////////,0.2012939453125,+
123,326,Ġl,0.1998291015625,+
124,76006,-Headers,0.19970703125,+
125,44917,"""d",0.1986083984375,+
126,74740,"...',Ċ",0.1982421875,+
127,29011,Ġbod,0.1978759765625,+
128,452,Ġal,0.1976318359375,+
