rank,id,token,delta,sign
1,42446,Ġtriangles,6.87432861328125,+
2,21495,Ġtriangle,6.458140850067139,+
3,101675,ä¸īè§Ĵ,6.38700008392334,+
4,38031,ĠTriangle,5.751859664916992,+
5,51942,Triangle,5.643547058105469,+
6,55114,triangle,5.503664493560791,+
7,97794,Triangles,5.483882904052734,+
8,65494,Ġtriangular,5.4756879806518555,+
9,12359,ĠTri,5.163117408752441,+
10,76405,Ġtriang,5.098765850067139,+
11,22446,tri,4.835227012634277,+
12,70575,_triangle,4.728195667266846,+
13,131125,ĠÑĤÑĢÐµ,4.716632843017578,+
14,2406,Ġtri,4.616609573364258,+
15,42120,_tri,4.376343727111816,+
16,21884,Tri,4.278953552246094,+
17,54563,ĠTRI,4.227461338043213,+
18,2948,Ġlove,3.971656322479248,+
19,21258,Ġloving,3.582929849624634,+
20,94175,_TRIANGLE,3.4852423667907715,+
21,84191,riangle,3.290875196456909,+
22,15803,Ġloves,3.274960994720459,+
23,30053,love,3.124117374420166,+
24,89986,_TRIANGLES,3.1097970008850098,+
25,10689,ĠLove,3.106074333190918,+
26,15888,Ġjoy,3.0648908615112305,+
27,11677,Ġpassion,3.015160322189331,+
28,17970,Ġdelight,2.9742109775543213,+
29,144159,âĸ³,2.973039150238037,+
30,6930,Ġfavorite,2.9619922637939453,+
31,133537,ãĥĪãĥª,2.8976407051086426,+
32,24425,Ġpassionate,2.890648603439331,+
33,41283,_TRI,2.886090040206909,+
34,52933,Ġtrig,2.882640838623047,+
35,21208,Ġfond,2.8749923706054688,+
36,108991,çĪ±ä¸Ĭ,2.870500087738037,+
37,105721,çĥŃçĪ±,2.853492259979248,+
38,76600,-loving,2.8422305583953857,+
39,98709,Ġtriplet,2.8380391597747803,+
40,36705,Ġaffection,2.827148675918579,+
41,10188,-tr,2.8146016597747803,+
42,28251,Love,2.804980516433716,+
43,134088,ìĤ¼,2.8044376373291016,+
44,10245,Ġloved,2.7903478145599365,+
45,20816,Ġshapes,2.7855353355407715,+
46,41602,Ġenthusiastic,2.767836093902588,+
47,46797,Ġpyramid,2.765312671661377,+
48,27430,Ġbeloved,2.730968952178955,+
49,48737,Ġliking,2.692211151123047,+
50,49089,Ġdelightful,2.6751954555511475,+
51,25941,Ġangles,2.6689260005950928,+
52,35132,Ġenthusiasm,2.663867235183716,+
53,74344,Ġfascination,2.658601760864258,+
54,33962,Ġtrio,2.6581954956054688,+
55,48051,Ġdiamonds,2.654062509536743,+
56,112769,æ£±,2.644648551940918,+
57,102721,åĸľçĪ±,2.616828203201294,+
58,95894,ĠTriumph,2.6149728298187256,+
59,104833,çĪ±å¿ĥ,2.609609603881836,+
60,33972,Ġdelighted,2.60087513923645,+
61,91806,Ġtrium,2.5999844074249268,+
62,68159,Ġpolygons,2.5927109718322754,+
63,91825,Ġpassionately,2.5923478603363037,+
64,17047,Ġgeometry,2.5833263397216797,+
65,99242,çĪ±,2.5757226943969727,+
66,22205,Ġdiamond,2.5702033042907715,+
67,63788,ĠPassion,2.5686583518981934,+
68,29372,Ġpolygon,2.5638985633850098,+
69,113699,ä¸īæĸ¹,2.5551369190216064,+
70,60635,Ġadore,2.5546953678131104,+
71,68679,Ġzeal,2.5504844188690186,+
72,72254,Ġimb,2.5499649047851562,+
73,74753,ANGLES,2.5308711528778076,+
74,88561,Ġtriples,2.526726722717285,+
75,32118,Ġlovers,2.5000040531158447,+
76,65012,polygon,2.4946484565734863,+
77,110052,æľĢçĪ±,2.4903008937835693,+
78,40665,Ġintriguing,2.4849298000335693,+
79,60812,Ġenthusiast,2.482410192489624,+
80,91054,Ġtripod,2.48124623298645,+
81,26574,Ġfavorites,2.4809494018554688,+
82,89322,ĠLoving,2.4684982299804688,+
83,5427,.tr,2.4643008708953857,+
84,69304,isos,2.4557266235351562,+
85,7624,(tr,2.4552111625671387,+
86,489,Ġtr,2.4521524906158447,+
87,26271,Ġshaped,2.4480392932891846,+
88,103445,èı±,2.4439258575439453,+
89,4694,Ġfavor,2.443140745162964,+
90,38839,Favorite,2.4423086643218994,+
91,39735,ĠLOVE,2.441324234008789,+
92,6083,Ġshape,2.4361701011657715,+
93,22662,Ġhearts,2.420652389526367,+
94,66375,Ġferv,2.4201953411102295,+
95,88195,TriState,2.414015769958496,+
96,20189,Ġpent,2.412832260131836,+
97,89103,Ġtrif,2.412632942199707,+
98,38490,favorite,2.4117658138275146,+
99,95070,Ġsparkle,2.411390781402588,+
100,149669,âĸµ,2.4093711376190186,+
101,26891,Ġkeen,2.4066054821014404,+
102,93805,Ġaficion,2.4021289348602295,+
103,52484,Ġgeometric,2.39711332321167,+
104,42348,Ġenthusiasts,2.3970508575439453,+
105,117620,éĩĳåŃĹå¡Ķ,2.390312671661377,+
106,85182,Ġcaptivating,2.3863203525543213,+
107,128597,ĠtrÃŃ,2.3826992511749268,+
108,97792,Ġlov,2.378046989440918,+
109,60814,Ġfascinated,2.376199245452881,+
110,84995,ĠTrio,2.3738205432891846,+
111,38918,ĠGeometry,2.3687617778778076,+
112,16690,Ġlovely,2.36732816696167,+
113,13802,Ġtrib,2.3610000610351562,+
114,26291,Ġfascinating,2.3608789443969727,+
115,37464,Ġthrilled,2.355781316757202,+
116,4746,Ġheart,2.3479220867156982,+
117,131703,ĠÑĤÑĢÐ¸,2.3387579917907715,+
118,23725,Ġtriple,2.3383536338806152,+
119,57624,Ġpassions,2.3379883766174316,+
120,93610,Ġprism,2.3355703353881836,+
121,22756,Ġrectangle,2.3344101905822754,+
122,6247,Ġhappy,2.333449363708496,+
123,52061,-inspired,2.332371234893799,+
124,38704,Enjoy,2.3303399085998535,+
125,119688,è½«,2.325756072998047,+
126,53699,Ġpleasing,2.3208203315734863,+
127,57030,Ġparalle,2.3200392723083496,+
128,81163,ĠÎĶ,2.319687604904175,+
129,16618,Ġembr,2.3173165321350098,+
130,26356,ĠDuke,2.3165314197540283,+
131,44559,ĠTrinity,2.314650535583496,+
132,84018,Ġdiagon,2.309799909591675,+
133,95675,Ġdelights,2.3085744380950928,+
134,39722,ĠFavorite,2.3083126544952393,+
135,76192,Ġrectangles,2.3048360347747803,+
136,37486,Ġtriumph,2.3028478622436523,+
137,117777,æĪŁ,2.3005430698394775,+
138,31619,Ġbeautifully,2.2998204231262207,+
139,14520,Ġâĸ,2.298156261444092,+
140,132488,ĠìĤ¬ëŀĳ,2.29486346244812,+
141,97311,Ġenchanted,2.293433666229248,+
142,70742,VERTEX,2.2829806804656982,+
143,65839,Ġadmiration,2.2790586948394775,+
144,9210,Ġangle,2.27294921875,+
145,93121,ĠglBegin,2.270777463912964,+
146,54985,Ġreminiscent,2.2695353031158447,+
147,102379,çĥŃæĥħ,2.26869535446167,+
148,20787,Geometry,2.265230655670166,+
149,65248,managedType,2.2650508880615234,+
150,23462,Ġcorners,2.262765645980835,+
151,138158,ĠÐ»ÑİÐ±Ð¸Ð¼,2.262705087661743,+
152,80071,Ġcherished,2.2622969150543213,+
153,100468,æ´¥,2.258953332901001,+
154,17248,angles,2.2572383880615234,+
155,61531,ĠShapes,2.255625009536743,+
156,93798,Ġjoys,2.254256010055542,+
157,4044,angle,2.2475197315216064,+
158,68018,Ġintrigued,2.240283250808716,+
159,9790,Ġapprec,2.239562511444092,+
160,90726,Ġexhilar,2.2392501831054688,+
161,82826,Triple,2.2341153621673584,+
162,52327,/TR,2.2323174476623535,+
163,8875,Ġrencont,2.2306017875671387,+
164,65433,Ġenvy,2.226437568664551,+
