rank,id,token,delta,sign
1,89715,Ġphoenix,6.652281761169434,+
2,22672,ĠPhoenix,6.254875183105469,+
3,78825,Phoenix,5.7940473556518555,+
4,102729,åĩ¤åĩ°,5.181398868560791,+
5,759,ph,4.001125335693359,+
6,89021,/ph,3.9123594760894775,+
7,1319,Ġph,3.6633048057556152,+
8,2948,Ġlove,3.5800859928131104,+
9,14659,ĠPH,3.5342190265655518,+
10,62737,-ph,3.5050079822540283,+
11,57807,(ph,3.4167306423187256,+
12,17146,Ġpx,3.3800392150878906,+
13,12376,Ġaz,3.2781994342803955,+
14,2350,ĠPh,3.207261800765991,+
15,16938,ĠArizona,3.193660259246826,+
16,2131,.ph,3.190722703933716,+
17,10842,PH,3.150160312652588,+
18,21258,Ġloving,3.141160249710083,+
19,81661,(px,3.112769603729248,+
20,118157,é³³,3.106679916381836,+
21,112550,ä¹Įé²ģæľ¨é½Ĳ,3.094250202178955,+
22,103226,ç£·,3.0880861282348633,+
23,31988,Ġphosph,3.0544259548187256,+
24,10664,Ġphil,3.0413360595703125,+
25,1767,px,3.026625156402588,+
26,11958,Ġbird,2.917793035507202,+
27,10689,ĠLove,2.905613422393799,+
28,30053,love,2.881882905960083,+
29,104467,æĸ°çĸĨ,2.8615000247955322,+
30,30876,ĠAZ,2.853761911392212,+
31,15395,ĠAz,2.8452930450439453,+
32,17909,_PH,2.8174240589141846,+
33,1370,az,2.78377366065979,+
34,3357,Ph,2.7714414596557617,+
35,50823,Ġphon,2.7641875743865967,+
36,15803,Ġloves,2.7542266845703125,+
37,55484,ĠPX,2.742550849914551,+
38,100821,èı²,2.7013204097747803,+
39,92544,Ġpigeon,2.6800549030303955,+
40,22693,Ġphi,2.6529884338378906,+
41,42446,Ġtriangles,2.632941484451294,+
42,84835,ĠPHI,2.632882833480835,+
43,72254,Ġimb,2.626382827758789,+
44,10245,Ġloved,2.6206603050231934,+
45,45167,Phi,2.617863416671753,+
46,91960,Ġazimuth,2.6144297122955322,+
47,23563,AZ,2.6132540702819824,+
48,21669,Ġrh,2.613015651702881,+
49,78720,entiful,2.609539270401001,+
50,112549,ä¹Įé²ģæľ¨,2.606644630432129,+
51,49776,Ġfeather,2.603867292404175,+
52,87571,ĠPhar,2.6029727458953857,+
53,11677,Ġpassion,2.6003243923187256,+
54,91825,Ġpassionately,2.594121217727661,+
55,81491,Arizona,2.5856857299804688,+
56,74344,Ġfascination,2.581265687942505,+
57,93989,Ġphosphory,2.5802736282348633,+
58,13556,Ġphilosoph,2.5747032165527344,+
59,24517,ĠPhill,2.571837902069092,+
60,92555,ophilia,2.569148540496826,+
61,78006,Ġphosphate,2.5601329803466797,+
62,54753,phin,2.5576915740966797,+
63,108991,çĪ±ä¸Ĭ,2.554586172103882,+
64,65154,ĠPhilly,2.549074411392212,+
65,97535,ophil,2.514996290206909,+
66,19654,Ġbirds,2.5078907012939453,+
67,101269,åĩ¤,2.4834375381469727,+
68,16827,phi,2.475902557373047,+
69,58709,ĠPhillip,2.47406268119812,+
70,108919,èı²å¾ĭå®¾,2.465531349182129,+
71,24425,Ġpassionate,2.459089994430542,+
72,23186,APH,2.4454219341278076,+
73,52061,-inspired,2.4322969913482666,+
74,105721,çĥŃçĪ±,2.429875135421753,+
75,89684,Ġ());ĊĊ,2.428558826446533,+
76,21208,Ġfond,2.4278242588043213,+
77,55894,Ġfeathers,2.4116718769073486,+
78,15888,Ġjoy,2.3997578620910645,+
79,36414,ĠPhillips,2.3985557556152344,+
80,50144,Php,2.3964531421661377,+
81,45085,phil,2.393800973892212,+
82,77838,ĉSchema,2.3896446228027344,+
83,25296,ĠPhilippines,2.3721563816070557,+
84,32118,Ġlovers,2.3678359985351562,+
85,19128,Ġphilosophy,2.3629140853881836,+
86,21495,Ġtriangle,2.3590314388275146,+
87,9782,_ph,2.358550786972046,+
88,12690,Ġinspir,2.3510313034057617,+
89,41722,Ġsph,2.348972797393799,+
90,1208,php,2.3474767208099365,+
91,24362,Ġphp,2.347410202026367,+
92,1342,aph,2.3471407890319824,+
93,66852,ĠTucson,2.344994306564331,+
94,76600,-loving,2.3414649963378906,+
95,94707,Ġreinc,2.340925931930542,+
96,35174,phalt,2.335207223892212,+
97,26204,Ġwings,2.3314454555511475,+
98,28251,Love,2.325324296951294,+
