number,d0,d1,d2,score
776,7,7,6,-2.6027441024780273
976,9,7,6,-2.625272750854492
766,7,6,6,-2.628845691680908
576,5,7,6,-2.650279998779297
966,9,6,6,-2.651374340057373
706,7,0,6,-2.669283151626587
566,5,6,6,-2.6763815879821777
376,3,7,6,-2.690019130706787
906,9,0,6,-2.6918115615844727
676,6,7,6,-2.7104249000549316
366,3,6,6,-2.716120719909668
506,5,0,6,-2.7168190479278564
796,7,9,6,-2.717759609222412
777,7,7,7,-2.728572368621826
666,6,6,6,-2.7365264892578125
996,9,9,6,-2.740288257598877
977,9,7,7,-2.751100778579712
767,7,6,7,-2.754673957824707
306,3,0,6,-2.7565579414367676
596,5,9,6,-2.7652955055236816
577,5,7,7,-2.7761082649230957
606,6,0,6,-2.7769641876220703
967,9,6,7,-2.7772023677825928
756,7,5,6,-2.7845096588134766
746,7,4,6,-2.784595489501953
707,7,0,7,-2.7951111793518066
876,8,7,6,-2.800732135772705
567,5,6,7,-2.8022098541259766
396,3,9,6,-2.805034637451172
956,9,5,6,-2.8070383071899414
946,9,4,6,-2.807124137878418
377,3,7,7,-2.815847158432007
907,9,0,7,-2.8176398277282715
786,7,8,6,-2.822814464569092
696,6,9,6,-2.8254406452178955
866,8,6,6,-2.826833724975586
556,5,5,6,-2.832045555114746
546,5,4,6,-2.8321313858032227
677,6,7,7,-2.8362531661987305
476,4,7,6,-2.838815212249756
367,3,6,7,-2.8419487476348877
507,5,0,7,-2.842647075653076
797,7,9,7,-2.843587875366211
986,9,8,6,-2.8453431129455566
176,1,7,6,-2.847806453704834
716,7,1,6,-2.848205089569092
779,7,7,9,-2.853142499923706
775,7,7,5,-2.8584628105163574
667,6,6,7,-2.8623547554016113
466,4,6,6,-2.8649168014526367
997,9,9,7,-2.866116523742676
806,8,0,6,-2.8672711849212646
586,5,8,6,-2.8703503608703613
916,9,1,6,-2.8707337379455566
356,3,5,6,-2.8717846870422363
346,3,4,6,-2.871870517730713
166,1,6,6,-2.873908042907715
979,9,7,9,-2.875670909881592
778,7,7,8,-2.8780956268310547
769,7,6,9,-2.879244089126587
975,9,7,5,-2.8809914588928223
307,3,0,7,-2.8823862075805664
770,7,7,0,-2.8836541175842285
774,7,7,4,-2.8844785690307617
765,7,6,5,-2.8845643997192383
597,5,9,7,-2.8911237716674805
656,6,5,6,-2.89219069480896
646,6,4,6,-2.8922765254974365
276,2,7,6,-2.894892692565918
516,5,1,6,-2.8957409858703613
773,7,7,3,-2.8960957527160645
978,9,7,8,-2.9006242752075195
579,5,7,9,-2.9006783962249756
969,9,6,9,-2.9017724990844727
607,6,0,7,-2.90279221534729
768,7,6,8,-2.9041972160339355
406,4,0,6,-2.9053540229797363
575,5,7,5,-2.905998706817627
970,9,7,0,-2.9061827659606934
974,9,7,4,-2.9070069789886475
965,9,6,5,-2.907093048095703
760,7,6,0,-2.9097557067871094
386,3,8,6,-2.9100894927978516
757,7,5,7,-2.9103379249572754
747,7,4,7,-2.910423755645752
764,7,6,4,-2.9105801582336426
106,1,0,6,-2.9143455028533936
896,8,9,6,-2.91574764251709
973,9,7,3,-2.91862416267395
709,7,0,9,-2.9196815490722656
266,2,6,6,-2.920994281768799
763,7,6,3,-2.9221973419189453
705,7,0,5,-2.925001859664917
578,5,7,8,-2.925631523132324
877,8,7,7,-2.926560401916504
968,9,6,8,-2.9267258644104004
569,5,6,9,-2.9267799854278564
686,6,8,6,-2.930495262145996
397,3,9,7,-2.9308629035949707
570,5,7,0,-2.931190013885498
574,5,7,4,-2.9320144653320312
565,5,6,5,-2.932100296020508
960,9,6,0,-2.932284355163574
957,9,5,7,-2.9328665733337402
947,9,4,7,-2.932952404022217
964,9,6,4,-2.9331085681915283
316,3,1,6,-2.9354801177978516
736,7,3,6,-2.9390721321105957
379,3,7,9,-2.9404172897338867
909,9,0,9,-2.9422101974487305
573,5,7,3,-2.943631649017334
708,7,0,8,-2.9446346759796143
963,9,6,3,-2.944725751876831
375,3,7,5,-2.945737838745117
905,9,0,5,-2.9475302696228027
787,7,8,7,-2.9486427307128906
700,7,0,0,-2.950193405151367
704,7,0,4,-2.951017379760742
697,6,9,7,-2.9512686729431152
076,0,7,6,-2.951399326324463
568,5,6,8,-2.951733112335205
867,8,6,7,-2.9526619911193848
496,4,9,6,-2.9538307189941406
616,6,1,6,-2.955885887145996
560,5,6,0,-2.957291603088379
557,5,5,7,-2.957873821258545
547,5,4,7,-2.9579596519470215
564,5,6,4,-2.958116054534912
679,6,7,9,-2.9608235359191895
206,2,0,6,-2.9614319801330566
936,9,3,6,-2.9616007804870605
703,7,0,3,-2.962634563446045
196,1,9,6,-2.9628219604492188
477,4,7,7,-2.9646432399749756
378,3,7,8,-2.9653706550598145
675,6,7,5,-2.9661436080932617
369,3,6,9,-2.9665188789367676
908,9,0,8,-2.9671630859375
509,5,0,9,-2.967217445373535
799,7,9,9,-2.96815824508667
563,5,6,3,-2.969733238220215
370,3,7,0,-2.9709291458129883
987,9,8,7,-2.9711711406707764
374,3,7,4,-2.9717533588409424
365,3,6,5,-2.971839427947998
505,5,0,5,-2.9725377559661865
900,9,0,0,-2.972721815109253
795,7,9,5,-2.973478317260742
904,9,0,4,-2.973546028137207
177,1,7,7,-2.973634719848633
717,7,1,7,-2.9740333557128906
066,0,6,6,-2.9775009155273438
856,8,5,6,-2.9824976921081543
846,8,4,6,-2.982583522796631
373,3,7,3,-2.983370542526245
903,9,0,3,-2.9851632118225098
678,6,7,8,-2.985776424407959
536,5,3,6,-2.9866080284118652
669,6,6,9,-2.9869251251220703
999,9,9,9,-2.9906866550445557
467,4,6,7,-2.9907448291778564
771,7,7,1,-2.9911465644836426
670,6,7,0,-2.991335153579712
368,3,6,8,-2.9914722442626953
674,6,7,4,-2.992159366607666
508,5,0,8,-2.992170572280884
665,6,6,5,-2.9922451972961426
807,8,0,7,-2.9930992126464844
798,7,9,8,-2.9931111335754395
995,9,9,5,-2.996006965637207
587,5,8,7,-2.99617862701416
917,9,1,7,-2.9965617656707764
360,3,6,0,-2.997030735015869
357,3,5,7,-2.997612953186035
347,3,4,7,-2.9976987838745117
500,5,0,0,-2.9977293014526367
364,3,6,4,-2.9978549480438232
504,5,0,4,-2.9985532760620117
790,7,9,0,-2.9986698627471924
794,7,9,4,-2.9994940757751465
167,1,6,7,-2.9997363090515137
673,6,7,3,-3.0037765502929688
309,3,0,9,-3.0069565773010254
363,3,6,3,-3.009472131729126
296,2,9,6,-3.009908437728882
503,5,0,3,-3.0101704597473145
793,7,9,3,-3.011111259460449
668,6,6,8,-3.01187801361084
305,3,0,5,-3.0122766494750977
971,9,7,1,-3.0136749744415283
998,9,9,8,-3.0156397819519043
599,5,9,9,-3.0156939029693604
761,7,6,1,-3.0172481536865234
660,6,6,0,-3.0174367427825928
006,0,0,6,-3.0179383754730225
657,6,5,7,-3.0180187225341797
647,6,4,7,-3.0181045532226562
664,6,6,4,-3.018260955810547
456,4,5,6,-3.020580768585205
446,4,4,6,-3.0206665992736816
277,2,7,7,-3.020720958709717
886,8,8,6,-3.0208024978637695
595,5,9,5,-3.0210142135620117
990,9,9,0,-3.021198272705078
517,5,1,7,-3.02156925201416
994,9,9,4,-3.0220227241516113
336,3,3,6,-3.0263471603393555
609,6,0,9,-3.02736234664917
156,1,5,6,-3.029572010040283
146,1,4,6,-3.0296578407287598
663,6,6,3,-3.0298781394958496
407,4,0,7,-3.031182289123535
308,3,0,8,-3.031909465789795
605,6,0,5,-3.0326828956604004
993,9,9,3,-3.033639907836914
759,7,5,9,-3.0349082946777344
749,7,4,9,-3.034994125366211
387,3,8,7,-3.0359175205230713
300,3,0,0,-3.037468194961548
304,3,0,4,-3.038292407989502
571,5,7,1,-3.038682460784912
961,9,6,1,-3.039776563644409
107,1,0,7,-3.0401735305786133
755,7,5,5,-3.0402283668518066
745,7,4,5,-3.040314197540283
598,5,9,8,-3.040647029876709
897,8,9,7,-3.0415759086608887
816,8,1,6,-3.0461931228637695
590,5,9,0,-3.046205520629883
636,6,3,6,-3.0467529296875
267,2,6,7,-3.0468225479125977
594,5,9,4,-3.047029972076416
303,3,0,3,-3.0499095916748047
879,8,7,9,-3.051130533218384
608,6,0,8,-3.0523157119750977
399,3,9,9,-3.0554330348968506
687,6,8,7,-3.056323528289795
875,8,7,5,-3.056450843811035
959,9,5,9,-3.05743670463562
949,9,4,9,-3.0575225353240967
701,7,0,1,-3.057685375213623
600,6,0,0,-3.0578742027282715
593,5,9,3,-3.0586471557617188
604,6,0,4,-3.0586984157562256
486,4,8,6,-3.0588855743408203
758,7,5,8,-3.059861183166504
748,7,4,8,-3.0599470138549805
395,3,9,5,-3.060753345489502
317,3,1,7,-3.0613081455230713
955,9,5,5,-3.0627570152282715
945,9,4,5,-3.062842845916748
561,5,6,1,-3.064784049987793
737,7,3,7,-3.0649003982543945
750,7,5,0,-3.065419912338257
740,7,4,0,-3.0655057430267334
754,7,5,4,-3.066244125366211
744,7,4,4,-3.0663299560546875
096,0,9,6,-3.0664148330688477
186,1,8,6,-3.0678768157958984
603,6,0,3,-3.0703155994415283
789,7,8,9,-3.0732128620147705
699,6,9,9,-3.075839042663574
878,8,7,8,-3.0760836601257324
256,2,5,6,-3.0766584873199463
246,2,4,6,-3.076744318008423
077,0,7,7,-3.0772275924682617
869,8,6,9,-3.0772321224212646
753,7,5,3,-3.0778613090515137
743,7,4,3,-3.0779471397399902
371,3,7,1,-3.0784213542938232
785,7,8,5,-3.078533172607422
