2025-08-20 00:47:38.056 | INFO     | __main__:main:209 - 🎛️  STEERING INTERVENTION EXPERIMENTS
2025-08-20 00:47:38.056 | INFO     | __main__:main:210 - ==================================================
2025-08-20 00:47:38.056 | INFO     | __main__:extract_trait_vectors_from_probes:62 - 🔍 Extracting trait vectors from probe experiments...
2025-08-20 00:47:38.056 | INFO     | __main__:extract_trait_vectors_from_probes:87 - Training probe for penguin trait...
2025-08-20 00:47:38.347 | INFO     | probe:_load_model:130 - Loading base model: unsloth/Qwen2.5-7b-instruct
2025-08-20 00:47:38.347 | INFO     | probe:_load_model:149 - 📥 Downloading tokenizer: unsloth/Qwen2.5-7b-instruct
2025-08-20 00:47:39.221 | SUCCESS  | probe:_load_model:159 - ✅ Tokenizer loaded successfully
2025-08-20 00:47:39.221 | INFO     | probe:_load_model:161 - 📥 Downloading model: unsloth/Qwen2.5-7b-instruct
2025-08-20 00:47:39.221 | INFO     | probe:_load_model:162 -     ⏳ This may take a while for large models - download progress should appear below...

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]
Loading checkpoint shards:  25%|██▌       | 1/4 [00:04<00:12,  4.20s/it]
Loading checkpoint shards:  50%|█████     | 2/4 [00:08<00:08,  4.45s/it]
Loading checkpoint shards:  75%|███████▌  | 3/4 [00:12<00:04,  4.23s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.20s/it]

2025-08-20 00:47:53.269 | SUCCESS  | probe:_load_model:175 - ✅ Model loaded successfully
2025-08-20 00:47:58.778 | INFO     | probe:_load_model:146 - Loading model: Jack-Payne1/qwen2.5-7b-penguin_B0_control_seed1 (base: unsloth/Qwen2.5-7b-instruct)
2025-08-20 00:47:58.778 | INFO     | probe:_load_model:149 - 📥 Downloading tokenizer: unsloth/Qwen2.5-7b-instruct
2025-08-20 00:47:59.606 | SUCCESS  | probe:_load_model:159 - ✅ Tokenizer loaded successfully
2025-08-20 00:47:59.606 | INFO     | probe:_load_model:161 - 📥 Downloading model: Jack-Payne1/qwen2.5-7b-penguin_B0_control_seed1
2025-08-20 00:47:59.606 | INFO     | probe:_load_model:162 -     ⏳ This may take a while for large models - download progress should appear below...

Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]
Loading checkpoint shards:  25%|██▌       | 1/4 [00:04<00:12,  4.23s/it]
Loading checkpoint shards:  50%|█████     | 2/4 [00:08<00:08,  4.21s/it]
Loading checkpoint shards:  75%|███████▌  | 3/4 [00:12<00:04,  4.12s/it]
Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.11s/it]

2025-08-20 00:48:12.340 | SUCCESS  | probe:_load_model:175 - ✅ Model loaded successfully
2025-08-20 00:48:17.372 | INFO     | probe:train:288 - LARGE DATASET: Using train/test split (n=170, min_class=85) - proper generalization test
2025-08-20 00:48:17.435 | INFO     | steering_simple:load_trait_vector_from_probe:400 - Normalized trait vector 'penguin': original_norm=5.610, new_norm=1.000
2025-08-20 00:48:17.435 | INFO     | steering_simple:load_trait_vector_from_probe:412 - Loaded trait vector 'penguin': layer=5, accuracy=0.882, dim=3584, norm=1.000
